Product_id,WTO_2011_id,HS1992_4,HS2007_4digit,HS2012_4digit,HS2002_6digit,HS2007_6digit,HS2012_6digit,HS1992_6digit,WTO_Code_Description_2010,WTO_Code_Description_2011,APEC_Code_Description,OECD_Code_Description,WTO_List_Identifier,WTO_Sample_Core_List,WTO_Reference_Universe_List,APEC_List_Identifier,OECD_List_Iidentifier,OECD2_List_identifier,WTO_Ex_Out,APEC_Ex_Out,WTO_Environmental_Benefit_Description,APEC_Environmental_Benefit_Description,WTO_1_Air_Pollution_Control,WTO_1_Renewable_Energy,WTO_1_Waste_Management_and_Water_Treatment,WTO_1_Environmental Technologies,WTO_1_Carbon_Capture_and_Storage,WTO_Others,WTO_2_Clean Up or Remediation of Soil and Water,WTO_2_Management of Solid and Hazardous Waste and Recycling Systems,"WTO_2_Waste Management, Recycling and Remediation",WTO_2_Waste Water Management and Potable Water Treatment,WTO_2_Gas Flairing Emission Reduction,WTO_2_Efficient Consumption of Energy Technologies,WTO_2_Cleaner or More Resource Efficient Technologies and Products,WTO_2_Energy Efficiency,"WTO_2_Environmental Monitoring, Analysis and Assessment Equipment",WTO_2_Heat and Energy Management,WTO_2_Natural Risk Management,WTO_2_Noise and Vibration Abatement,WTO_2_Environmnetally Preferable Products based on End-Use or Disposal Characteristics,WTO_2_Natural Resource Protection,WTO_2_Resources and Pollution Management,WTO_2_Others,WTO_2_Renewable Energy,WTO_2_Renewable Products and Energy Source,OECD_A: Pollution Management,OECD_A1 Air pollution control,OECD_A2 Wastewater management,OECD_A3 Solid waste management,OECD_A4 Remediation and cleanup,OECD_A5 Noise and vibration abatement,"OECD_A6 Environmental monitoring, analysis and assessment ",OECD_B: Cleaner Technologies and products,OECD_B2: Cleaner/resource efficient products ,OECD_C: Resources management group,OECD_C2: Water supply,OECD_C4: Renewable energy plant,OECD_C5: Heat/energy savings and management,OECD2: Air pollution control,OECD2: Cleaner or more resource efficient technologies and products,OECD2: Environmentally preferable products,OECD2: Heat and energy managemetn,"OECD2: Environmental monitoring, analysis and assessment equipment",OECD2: Natural Resources Protection,OECD2: Noise and vibration abatement,OECD2: Renewable Energy Plant,OECD2: Management of solid and hazardous waste and recycling systems,OECD2: Clean up or remediation of soil and water,OECD2: Waste water management and potable water treatment
467,NA,2201,2201,2201,220110,220110,220110,220110,NA,NA,NA,"Water, incl. natural or artificial mineral water ",0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
472,NA,2207,2207,2207,220710,220710,220710,220710,NA,NA,NA,Ethanol,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2503,2503,2503,250300,250300,250300,250310,NA,"-Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.",NA,NA,2,0,1,0,0,0,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,2503,2503,2503,250300,250300,250300,250310,Sulphur (Crude or Unrefined),NA,NA,NA,1,0,0,0,0,0,NA,NA,"Carbon capture and storage technologies (CCS), Efficient consumption of energy technologies (EC)",NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NA,2503,2503,2503,250300,250300,250300,250390,Sulphur (Other than Crude or Unrefined Sulphur),NA,NA,NA,1,0,0,0,0,0,NA,NA,"Carbon Capture and Storage, Efficient Consumption of Energy Technologies",NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,NA,2521,2521,2521,252100,252100,252100,252100,NA,NA,NA,Limestone Flux,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,NA,2522,2522,2522,252220,252220,252220,252220,NA,NA,NA,Slaked (hydrated) lime ,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2710,2710,2710,271011,271011,271012,271000,NA,- Light oils and preparations,NA,NA,2,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,2710,2710,2710,271019,271019,271019,271000,NA,- Others,NA,NA,2,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,2711,2711,2711,271111,271111,271111,271111,Natural Gas (Liquefied),Natural Gas (Liquefied),NA,NA,3,0,1,0,0,0,NA,NA,"Carbon Capture and Storage, Efficient consumption of energy technologies,  Gas flaring emission reduction technologies",NA,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
