code,service
220110,Suministro de agua
220710,Plantas de energías renovables
250310,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, reducción de ruidos"
250310,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
250390,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
252100,"Control de la contaminación del aire, Manejo de aguas residuales"
252220,"Control de la contaminación del aire, Manejo de aguas residuales"
271000,Productos ambientalmente preferibles según las características de uso final o eliminación (cuando pasa a ser residuo)
271000,Productos ambientalmente preferibles según las características de uso final o eliminación (cuando pasa a ser residuo)
271111,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271112,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271113,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271114,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271119,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271121,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
271129,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
280110,"Manejo de aguas residuales, Suministro de agua"
281410,Manejo de aguas residuales
281511,Manejo de aguas residuales
281512,Manejo de aguas residuales
281610,"Control de la contaminación del aire, Manejo de aguas residuales"
281810,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
281820,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
281830,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
281830,Manejo de aguas residuales
282010,Manejo de aguas residuales
282090,Manejo de aguas residuales
282410,Manejo de aguas residuales
283210,Manejo de aguas residuales
283220,Manejo de aguas residuales
283510,Manejo de aguas residuales
283524,Manejo de aguas residuales
283525,Manejo de aguas residuales
283526,Manejo de aguas residuales
283529,Manejo de aguas residuales
283529,Manejo de aguas residuales
283529,Manejo de aguas residuales
284700,Productos más limpios y eficientes en el uso de recursos
285100,Suministro de agua
290511,Plantas de energías renovables
290911,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290919,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290920,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290930,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290941,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290942,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290943,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290944,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290949,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290950,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
290960,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291411,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291412,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291413,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291419,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291421,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291422,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291423,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291429,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291430,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291430,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291441,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291449,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291449,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291450,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291461,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291469,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
291470,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía, tecnologías de reducción de emisiones de quema de gas"
320910,Productos más limpios y eficientes en el uso de recursos
320990,Productos más limpios y eficientes en el uso de recursos
380210,Manejo de aguas residuales y potabilización del agua
381511,Gestión del calor y la energía
382390,"Gestión de residuos y tratamiento de agua, energías renovables, productos renovables y fuentes de energía"
