pais,2000,2005,2010,2015,2019,color
Angola,131,132,129,123,127,default
Albania,71,79,84,87,83,default
Emiratos Árabes Unidos,81,63,63,64,82,default
Argentina,54,53,60,65,73,argentina
Armenia,35,60,65,68,76,default
Australia,60,67,83,80,86,default
Austria,8,6,5,6,7,default
Azerbaiyán,77,117,121,114,120,default
Bélgica,16,21,21,21,21,default
Burkina Faso,62,122,96,100,109,default
Bangladesh,112,110,109,108,105,default
Bulgaria,38,44,44,42,42,default
Bahrein,74,73,66,44,59,default
Bosnia y<br> Herzegovina,52,42,40,39,35,default
Bielorrusia,29,24,27,33,31,default
Bolivia,80,108,106,115,102,default
Brasil,26,34,46,50,53,default
Botsuana,73,91,81,83,99,default
Canadá,22,27,36,38,36,default
Suiza,3,3,2,3,2,default
Chile,65,69,75,72,71,default
China,39,29,24,18,16,china
Côte <br>d'Ivoire,103,103,117,103,118,default
Camerún,128,127,118,111,129,default
República <br>Democrática <br>del Congo,109,130,126,131,123,default
República <br>del Congo,130,131,128,119,125,default
Colombia,57,56,62,60,55,default
Costa Rica,70,57,58,47,44,default
Cuba,104,70,87,101,94,default
Chipre,46,43,33,56,46,default
Chequia,12,11,7,7,6,default
Alemania,2,2,3,2,3,default
Dinamarca,18,18,20,24,26,default
República <br>Dominicana,92,72,72,73,69,default
Argelia,114,105,115,125,116,default
Ecuador,115,116,100,113,117,default
Egipto,76,81,74,66,67,default
España,21,23,25,30,32,default
Estonia,41,30,31,28,29,default
Etiopía,119,120,113,106,108,default
Finlandia,7,5,9,13,13,default
Francia,10,13,13,16,19,default
Gabón,102,128,120,130,126,default
Reino Unido,4,7,11,11,12,default
Georgia,43,61,78,70,63,default
Ghana,118,114,103,121,103,default
Guinea,127,126,131,124,132,default
Grecia,47,50,52,58,50,default
Guatemala,78,83,77,75,79,default
Honduras,99,99,90,79,90,default
Croacia,32,28,30,34,30,default
Hungría,23,16,10,10,10,default
Indonesia,59,62,67,62,61,indonesia
India,42,49,54,48,43,default
Irlanda,9,14,17,19,17,default
Irán,105,96,95,92,80,default
Israel,15,19,19,27,20,default
Italia,13,15,16,15,15,default
Jamaica,95,82,64,76,74,default
Jordán,30,52,47,52,65,default
Japón,1,1,1,1,1,japon
Kazajstán,72,74,112,84,78,default
Kenia,89,93,76,91,77,default
Kirguistán,50,77,79,55,66,default
Camboya,113,119,108,93,88,default
Corea del Sur,20,10,8,4,4,default
Kuwait,108,80,50,86,98,default
Laos,116,115,107,109,92,default
Líbano,55,46,43,43,57,default
Liberia,97,100,105,129,131,default
Libia,111,94,116,127,121,default
Sri Lanka,87,89,80,81,75,default
Lituania,49,45,34,36,33,default
Letonia,45,40,38,41,37,default
Marruecos,91,87,82,89,89,default
Moldavia,61,66,57,67,68,default
Madagascar,117,101,88,104,111,default
México,25,17,18,17,18,default
Macedonia <br>del Norte,53,65,69,74,58,default
Mali,75,102,93,95,91,default
Myanmar,122,118,122,118,114,default
Mongolia,88,104,125,120,113,default
Mozambique,101,123,127,122,122,default
Mauritania,126,124,132,126,124,default
Mauricio,85,71,68,69,70,default
Malawi,120,125,114,102,110,default
Malasia,27,26,29,25,24,default
Namibia,82,85,99,77,72,default
Nigeria,132,133,133,133,133,default
Nicaragua,98,111,110,112,104,default
Países Bajos,19,22,22,23,25,default
Noruega,31,31,37,29,41,default
Nueva <br>Zelanda,40,41,53,49,49,default
Omán,123,106,86,96,84,default
Pakistán,100,92,97,98,93,default
Panamá,58,58,32,32,48,default
Perú,79,90,94,99,100,default
Filipinas,66,55,41,31,28,default
Papúa <br>Nueva <br>Guinea,125,129,130,132,130,default
Polonia,24,25,23,22,27,default
Portugal,34,33,35,35,38,default
Paraguay,107,95,91,88,85,default
Katar,90,64,71,78,81,default
Rumania,36,38,28,26,22,default
Rusia,28,39,55,51,52,default
Arabia <br>Saudita,63,51,51,61,39,default
Senegal,84,75,92,90,101,default
Singapur,11,9,4,5,5,default
El Salvador,68,76,61,59,54,default
Serbia,0,36,39,37,34,default
Eslovaquia,17,20,15,14,14,default
Eslovenia,14,12,14,12,9,default
Suecia,5,4,6,8,8,default
Eswatini,48,35,49,54,64,default
Togo,96,98,101,94,112,default
Tailandia,37,32,26,20,23,default
Tayikistán,106,97,119,117,97,default
Turkmenistán,110,113,111,116,95,default
Trinidad y Tobago,64,68,73,71,51,default
Túnez,67,59,48,45,45,default
Turquía,56,47,42,40,40,default
Tanzania,121,112,98,110,115,default
Uganda,124,109,89,85,106,uganda
Ucrania,33,37,45,46,47,default
Uruguay,51,54,59,53,62,default
USA,6,8,12,9,11,usa
Uzbekistán,86,84,85,97,87,default
Venezuela,69,78,123,128,128,default
Vietnam,93,88,70,63,56,default
Yemen,129,121,124,105,119,default
Sudáfrica,44,48,56,57,60,default
Zambia,94,107,104,82,96,default
Zimbabue,83,86,102,107,107,default
