pais,2021,2022,color
Albania,65,61,default
Argelia,114,121,default
Angola,106,119,default
Argentina,91,68,argentina
Australia,80,80,default
Austria,3,9,default
Azerbaiyán,101,106,default
Bangladesh,96,77,default
Bielorrusia,34,35,default
Bolivia,98,100,bolivia
Bosnia y <br>Herzegovina,35,41,default
Brasil,59,54,brasil
Bulgaria,27,18,default
Camboya,74,66,default
Camerún,109,105,default
Canadá,33,31,default
Chile,92,74,chile
China,4,1,china
Colombia,71,70,colombia
Costa Rica,63,62,default
Costa de <br>Marfil,83,92,default
Croacia,20,20,default
República <br>Checa,6,12,default
Dinamarca,8,16,default
República <br>Dominicana,81,81,default
Ecuador,99,93,ecuador
Egipto,55,33,default
El Salvador,62,55,default
Estonia,17,24,default
Etiopía,51,75,default
Finlandia,18,32,default
Francia,11,4,default
Gabón,116,116,default
Georgia,44,63,default
Alemania,1,6,default
Ghana,95,95,default
Grecia,47,36,default
Guatemala,70,59,default
Guinea,105,113,default
Honduras,100,83,default
Hong kong,40,25,default
Hungría,14,27,default
India,23,10,default
Indonesia,53,38,default
Irán,88,89,default
Irlanda,61,67,default
Israel,31,39,default
Italia,2,2,default
Jamaica,102,98,default
Japón,7,22,default
Jordania,58,47,default
Kazajistán,68,88,default
Kenia,50,48,default
Kuwait,94,112,default
Kirguistán,67,69,default
Laos,86,86,default
Letonia,28,26,default
Líbano,36,29,default
Liberia,112,114,default
Libia,119,122,default
Lituania,19,14,default
Macedônia,60,60,default
Madagascar,87,76,default
Malawi,93,102,default
Malasia,38,43,default
Mali,117,110,default
Mauritania,122,109,default
Mauricio,64,52,default
México,24,45,mexico
Moldavia,56,57,default
Mongolia,113,104,default
Marruecos,66,56,default
Mozambique,90,96,default
Países <br>Bajos,30,11,default
Nueva <br>Zelanda,54,50,default
Nicaragua,103,87,default
Nigeria,121,108,default
Noruega,42,65,default
Omán,72,97,default
Pakistán,69,42,default
Panamá,75,71,default
Papúa Nueva <br>Guinea,115,117,default
Paraguay,104,94,paraguay
Perú,78,72,peru
Filipinas,46,58,default
Polonia,9,5,default
Portugal,25,8,default
Qatar,107,120,default
República <br>del Congo,89,115,default
Rumanía,15,23,default
Rusia,52,64,default
Arabia <br>Saudita,79,82,default
Senegal,84,79,default
Singapur,37,53,default
Eslovaquia,22,28,default
Eslovenia,13,17,default
Sudáfrica,43,37,default
Corea del Sur,29,30,default
España,16,3,default
Sri lanka,49,49,default
Sudán,118,107,default
Suecia,12,19,default
Suiza,21,34,default
Tayikistán,110,103,default
Tanzania,45,51,default
Tailandia,32,21,default
Trinidad y Tobago,73,99,default
Tunez,39,46,default
Turquía,26,7,default
Turkmenistán,111,111,default
Uganda,85,78,default
Ucrania,41,44,default
Emiratos Árabes <br>Unidos,57,73,default
Reino Unido,10,15,default
USA,5,13,usa
Uruguay,82,84,uruguay
Uzbekistán,77,85,default
Venezuela,108,118,default
Vietnam,48,40,default
Yemen,120,101,default
Zambia,76,90,default
Zimbabue,97,91,default
