SubPartidas Arancelarias,Descripción del producto
010110,"Caballos y asnos, reproductores de raza pura"
010111,caballos reproductores de raza pura.
010119,los demas caballos vivos.
010120,"asnos, mulos y burdeganos, vivos."
010190,"Caballos, asnos, mulos y burdéganos, vivos (exc. reproductores de raza pura)"
010210,"bovinos reproductores de raza pura, vivos."
010290,los demas bovinos vivos.
010310,"porcinos reproductores de raza pura, vivos."
010391,"los demas porcinos de peso inferior a 50 kg., vivos."
010392,"los demas porcinos de peso superior o igual a 50 kg., vivos."
010410,ovinos vivos.
010420,caprinos vivos.
010511,pollitos del genero gallus domesticus de peso inferior o igual a 185 g
010512,pavos ( gallipavos ) de peso inferior o igual a 185 g.
010519,"los demas pollitos de peso inferior o igual 185 g., vivos"
010592,gallos y gallinas de peso inferior o igual a 2000 g.
010593,gallos gallinas de peso superior a 2000 g
010594,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas"
010599,"los demas gallos, gallinas, patos, pavos"
010600,los demas animales vivos.
010611,Primates vivos
010612,"Ballenas, delfines y marsopas mamíferos del orden Cetáceos, manatíes y dugones o dugongos"
010619,"Mamíferos vivos (exc. primates, ballenas, delfines y marsopas mamíferos del orden Cetáceos"
010620,"Reptiles, incl. las serpientes y las tortugas de mar, vivos"
010631,"Aves de rapiña, vivas"
010632,"Psitaciformes, incl. los loros, guacamayos, cacatúas y demás papagayos"
010639,"Aves vivas (exc. aves de rapiña y psitaciformes, incl. los loros, guacamayos, cacatúas y d"
010690,"Animales vivos (exc. mamíferos, reptiles, aves, pescados, crustáceos, moluscos y otros inv"
020110,"carne de bovinos en canales o medios canales, fresca o refrigerada."
020120,"carne de bovinos en trozos sin deshuesar, fresca o refrigerada."
020130,"carne de bovinos deshuesada, fresca o refrigerada."
020210,"carne de bovinos en canales o medios canales, congelada."
020220,"carne de bovinos en trozos sin deshuesar, congelada."
020230,"carne de bovinos deshuesada, congelada."
020311,"carne de porcino fresca o refrigerada, en canales o medios canales"
020312,"jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados."
020319,"las demas carnes de porcinos, frescas o refrigeradas."
020321,"carne de porcinos en canales o medios canales, congelada."
020322,"jamones, paletas y sus trozos, congelados sin deshuesar"
020329,"las demas carnes de porcino, congeladas."
020410,"canales o medios canales de cordero, frescos o refrigerados."
020421,"las demas carnes de ovinos, en canales o medios canales, frescas o ref"
020422,"los demas cortes de ovinos, sin deshuesar, frescos o refrigerados."
020423,"las demas carnes de ovinos, deshuesadas, frescas o refrigeradas."
020430,"carne de cordero congelada, en canales o medios canales"
020441,las demas carnes de ovinos congelada en canales o medios canales.
020442,"los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar"
020443,"las demas carnes de la especie ovina deshuesada, congelada"
020450,"carne de animales de la especie caprina, fresca, refrigerada o congela"
020500,"carne de animales de las especies caballar, asnal o mular, fresca, ref"
020610,"despojos comestibles de animales de la especie bovina, frescos o refri"
020621,"lenguas de bovinos, congeladas."
020622,"higados de bovinos, congelados."
020629,"los demas despojos comestibles de bovinos, congelados."
020630,"despojos comestibles de porcinos, frescos o refrigerados."
020641,"higados de porcinos, congelados."
020649,"los demas despojos comestibles de la especie porcina, congelados"
020680,"los demas despojos comestibles de animales, frescos o refrigerados."
020690,los demas despojos comestibles de animales congelados.
020711,"carnes y despojos comestibles de gallo o gallina sin trocear fresco,re"
020712,carne y despojos comestibles de gallo o gallina sin trocear congelados
020713,"trozos y despojos de gallo o gallina, frescos o refrigerados"
020714,"trozos y despojos de gallo o gallina, congelados"
020724,"carne y despojos sin trocear de pavo, fresco o refrigerado"
020725,"carne y despojos de pavo sin trocear, congelados"
020726,"trozos y despojos de pavo, frescos o refrigerados"
020727,trozos y despojos de pavo congelados
020732,"carne y despojos de pato, ganso o pintada sin trocear fresco o refrige"
020733,"carne y despojos de pato, ganso o pintada sin trocear congelados"
020734,"higados grasos de pato, ganso o pintada, frescos,refrigerados"
020735,"las demas carnes y despojos de pato,ganso o pintada frescos, refrigera"
020736,"las demas carnes y despojos de pato,ganso o pintada, congelados."
020810,carne de conejo o liebre refrigerada o congelada
020820,"ancas de rana, frescas, refrigeradas o congeladas."
020830,"Carne y despojos comestibles de primates, frescos, refrigerados o congelados"
020840,"Carne y despojos comestibles de ballenas, delfines y marsopas mamíferos del orden Cetáceos"
020850,"Carne y despojos comestibles de reptiles, incl. las serpientes y las tortugas de mar, fres"
020890,"las demas carnes y despojos comestibles, frescas, refrigeradas o conge"
020900,"tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos"
021011,"jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se"
021012,"panceta y sus trozos, salados o en salmuera, secos o ahumados."
021019,"las demas carnes de porcinos saladas o en salmuera, secas o ahumadas."
021020,"carne de bovinos salada o en salmuera, seca o ahumada."
021090,"los demas, incluidos la harina y el polvo comestible, de carne o despo"
021091,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y p"
021092,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y p"
021093,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y p"
021099,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados, y harina y polvo co"
030110,"peces ornamentales, vivos."
030191,"truchas, vivas."
030192,anguilas vivas.
